account,total_pnl,win_rate,avg_size_usd,trade_count,pnl_volatility,fear_trade_pct,greed_trade_pct,long_ratio,avg_fee_paid,weekend_trade_pct,profit_factor,cluster,cluster_label
0x083384f897ee0f19899168e3b1bec365f52a9012,1592824.507675,0.3596123624934521,16159.57673389209,3818,4690.7643202336885,0.8789942378208486,0.12100576217915139,0.4481403876375065,1.9395789167103195,0.12100576217915139,4.652905200932409,2,High-Volume Speculators
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,35839.091327300004,0.4427718660783805,1759.7434388787956,3853,181.09396437632543,0.9169478328575136,0.08305216714248638,0.43420711134181156,0.48457872325460677,0.08305216714248638,2.045736656463503,3,Contrarian Buyers
0x271b280974205ca63b716753467d5a371de622ab,28074.031392,0.3865619546247818,10908.183944153578,1146,116.33439585084851,0.9912739965095986,0.004363001745200698,0.44589877835951136,3.2190724598603837,0.004363001745200698,13.814716364744466,3,Contrarian Buyers
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,130098.6574335491,0.433665008291874,509.01650233680084,13266,113.53671752007277,0.5121362882556912,0.48786371174430876,0.5044474596713403,0.16710570265723657,0.48786371174430876,4.228676306702771,0,Disciplined Traders
0x2c229d22b100a7beb69122eed721cee9b24011dd,165520.736054,0.5179344465058751,3142.909573283859,3234,255.7091192239591,0.7640692640692641,0.23593073593073594,0.36394557823129253,0.9608064316635745,0.23593073593073594,12.69621954712707,3,Contrarian Buyers
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-27826.39312938,0.29497568881685576,1894.0418962722854,617,636.8316290331799,0.5656401944894651,0.3047001620745543,0.2820097244732577,0.19744844470016207,0.2965964343598055,0.6470646805476827,0,Disciplined Traders
0x39cef799f8b69da1995852eea189df24eb5cae3c,12998.262209929999,0.32766787405962666,4790.5754862078575,3589,730.5824406745653,0.9598774031763723,0.04012259682362775,0.4591808303148509,0.40642438731401503,0.04012259682362775,1.0582492119712794,3,Contrarian Buyers
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53319.973067082996,0.4759036144578313,3445.471265060241,332,1279.5516778073531,0.4246987951807229,0.5753012048192772,0.5120481927710844,0.5309463130030121,0.5753012048192772,846.1576308893137,1,Momentum Followers
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199237.625643021,0.2349869451697128,5189.367127937337,383,2227.9315869668594,0.6736292428198434,0.3263707571801567,0.26370757180156656,0.6996529738355091,0.3263707571801567,1175.0791817044171,1,Momentum Followers
0x430f09841d65beb3f27765503d0f850b8bce7713,415852.106866,0.5699333967649858,2580.497012369172,1051,1782.470797873823,0.6384395813510942,0.12464319695528069,0.2873453853472883,0.6562944576593721,0.12464319695528069,952.515852868237,1,Momentum Followers
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,100748.0565789839,0.35251798561151076,520.7206258992805,8340,89.0983787717726,0.5550359712230216,0.44496402877697844,0.4805755395683453,0.14599359172854914,0.44496402877697844,3.4286575196880884,0,Disciplined Traders
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,666766.43629881,0.48863086598935657,8954.378674407353,4134,874.4950827969011,0.9206579583938075,0.07934204160619256,0.47895500725689405,1.8474984840807933,0.07934204160619256,48.304809157852695,3,Contrarian Buyers
0x4f93fead39b70a1824f981a54d4e55b278e9f760,261209.93722199998,0.3543254445781522,17091.235308196283,7479,660.5216227907431,0.4996657307126621,0.32531087043722423,0.5522128626821767,5.358731689664394,0.32531087043722423,2.1002414610696203,0,Disciplined Traders
